iso,country_name,Transport,Clean cooking,Cold storage,Television,Mobile telephone,Water access,Sanitation,Nutrition,Education,Housing,Cooling,Heating
DJI,Djibouti,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.6285926039521307,0.651646012572751,0.13863075545344147,0.3633985901,0.6626928166710785,0.938171475974161,0
DNK,Denmark,0.5637514787774341,0,0,0,0,0.03262789121953902,0.05461474021143298,0.00468885060149109,0.01200683589999997,0,0,0.04652157340578387
DOM,Dominican Republic,0.6905073617646471,0.14200000000000002,0.259,0.14500000000000002,0.1472,0.46752978289290725,0.6238907573764473,0.05284214386003798,0.057804718,0.12585571010092167,0.531753586188193,0.00154985978310163
DZA,Algeria,0.892581874791549,0.2055,0.21733333333333327,0.123,0.10699999999999998,0.42483919886930555,0.822607116709335,0.02215460991489486,0,0.29117302344999363,0.75993554604225,0.00561441544779945
ECU,Ecuador,0.6905073617646471,0.4608333333333333,0.4721666666666666,0.27549999999999997,0.1472,0.256331344400739,0.578247012454945,0.06540830388687983,0,0.3205164592326639,0.3322890760531603,0.02725128118314624
EGY,Egypt,0.892581874791549,0.2055,0.03099999999999991,0.02500000000000002,0.09699999999999998,0.4100045614457577,0.4040831239543671,0.03260349638839476,0,0.2743747171407759,0.8575268350391669,0.0089154784041544
ERI,Eritrea,0.9633826852570108,0.8461212121212122,0.833,0.6558235294117647,0.2560588235294118,0.5269924874265632,0.6868053680909858,0.11995687179616342,0.6086259079,0.6589244933878142,0.6713840042130412,0.1699451477406019
ESP,Spain,0.5637514787774341,0,0,0,0,0.01519927341828808,0.03465644187348504,0.00883133061988688,0.00760810849999998,0,0.20431131772868305,0.04543356420591138
EST,Estonia,0.5965458237565414,0,0,0,0,0.06035204489606005,0.02885407858209499,0.00943242403420614,0,0,0,0.23797716215312031
ETH,Ethiopia,0.9633826852570108,0.945,0.947,0.862,0.4449999999999999,0.896875569321441,0.7448797415763269,0.18541461274502277,0.4560469818,0.81459810259587,0.200990557234598,0.38485632679000115
FIN,Finland,0.5637514787774341,0,0,0,0,0.00369373914119708,0.00819056914188498,0.00464512936905383,0,0,0,0.04684523669692476
FJI,Fiji,0.8506213119131738,0.6752,0.7096,0.4489999999999999,0.2172000000000001,0.41860398032636215,0.5721247328319649,0.0327834230956656,0,0.33815179826908853,0.7047884930509191,0
FRA,France,0.5637514787774341,0,0,0,0,0.0228610182275909,0.11548563852044792,0.00140863289703434,0.012280424118750053,0,0,0.04683648441819342
